"","sim_id","step","individuals","present_species","shannon","patch_individuals_mean","patch_species_mean","patch_shannon_mean","sample_individuals_mean","sample_species_mean","sample_shannon_mean","habitat","fragmentation"
"52","job1_sim1",52,16682,305,5.25386246831049,16682,305,5.25386246831049,44.3670212765957,30.3882978723404,3.28378303664949,0.15,0.1
"53","job1_sim1",53,16751,305,5.24401522585309,16751,305,5.24401522585309,44.5505319148936,30.4840425531915,3.28736822605801,0.15,0.1
"54","job1_sim1",54,16734,299,5.23730641133151,16734,299,5.23730641133151,44.5053191489362,30.3271276595745,3.27894725788096,0.15,0.1
"55","job1_sim1",55,16759,295,5.2308602304605,16759,295,5.2308602304605,44.5718085106383,30.2579787234043,3.27830707345294,0.15,0.1
"56","job1_sim1",56,16707,295,5.221330842617,16707,295,5.221330842617,44.4335106382979,30.218085106383,3.27618023316782,0.15,0.1
"57","job1_sim1",57,16729,291,5.20729018135949,16729,291,5.20729018135949,44.4920212765957,30.3351063829787,3.28126486405044,0.15,0.1
"58","job1_sim1",58,16757,288,5.20239035444996,16757,288,5.20239035444996,44.5664893617021,30.2765957446809,3.27895720665834,0.15,0.1
"59","job1_sim1",59,16727,283,5.19656927055419,16727,283,5.19656927055419,44.4867021276596,30.2234042553191,3.27824249307257,0.15,0.1
"60","job1_sim1",60,16733,283,5.18927388751247,16733,283,5.18927388751247,44.5026595744681,30.1755319148936,3.2741176912069,0.15,0.1
"61","job1_sim1",61,16689,280,5.17884417398601,16689,280,5.17884417398601,44.3856382978723,29.8856382978723,3.26331520254822,0.15,0.1
"62","job1_sim1",62,16716,276,5.17492696364296,16716,276,5.17492696364296,44.4574468085106,29.9840425531915,3.26841312777914,0.15,0.1
"63","job1_sim1",63,16767,274,5.17786221238184,16767,274,5.17786221238184,44.593085106383,30.0877659574468,3.27108308636094,0.15,0.1
"64","job1_sim1",64,16664,273,5.17546696180316,16664,273,5.17546696180316,44.3191489361702,30.1329787234043,3.27540675646301,0.15,0.1
"65","job1_sim1",65,16725,267,5.16959621849387,16725,267,5.16959621849387,44.4813829787234,30.188829787234,3.27582722246519,0.15,0.1
"66","job1_sim1",66,16732,264,5.1604744814846,16732,264,5.1604744814846,44.5,30.0079787234043,3.26752755377061,0.15,0.1
"67","job1_sim1",67,16817,262,5.15339987383695,16817,262,5.15339987383695,44.7260638297872,29.9707446808511,3.26482721476949,0.15,0.1
"68","job1_sim1",68,16878,261,5.15134836760292,16878,261,5.15134836760292,44.8882978723404,30.218085106383,3.27211059537863,0.15,0.1
"69","job1_sim1",69,16877,261,5.14547829759525,16877,261,5.14547829759525,44.8856382978723,29.938829787234,3.26197683926905,0.15,0.1
"70","job1_sim1",70,16877,258,5.13783898534928,16877,258,5.13783898534928,44.8856382978723,30.0053191489362,3.26274952566535,0.15,0.1
"71","job1_sim1",71,16623,255,5.12924441905315,16623,255,5.12924441905315,44.2101063829787,29.8484042553191,3.26149474032934,0.15,0.1
"72","job1_sim1",72,16770,252,5.11956212707345,16770,252,5.11956212707345,44.6010638297872,29.9202127659574,3.26041368037201,0.15,0.1
"73","job1_sim1",73,16804,250,5.11614568848895,16804,250,5.11614568848895,44.6914893617021,29.9015957446809,3.25850777648418,0.15,0.1
"74","job1_sim1",74,16797,249,5.10787435426423,16797,249,5.10787435426423,44.6728723404255,29.8164893617021,3.25725243318829,0.15,0.1
"75","job1_sim1",75,16769,246,5.09967080197718,16769,246,5.09967080197718,44.5984042553191,29.811170212766,3.25661241564784,0.15,0.1
"76","job1_sim1",76,16674,246,5.09800540295783,16674,246,5.09800540295783,44.3457446808511,29.6728723404255,3.25198758858624,0.15,0.1
"77","job1_sim1",77,16777,246,5.09545448092032,16777,246,5.09545448092032,44.6196808510638,29.686170212766,3.24974772495419,0.15,0.1
"78","job1_sim1",78,16689,246,5.09186733941526,16689,246,5.09186733941526,44.3856382978723,29.3696808510638,3.23775141026745,0.15,0.1
"79","job1_sim1",79,16732,246,5.09183207383259,16732,246,5.09183207383259,44.5,29.4574468085106,3.24323634822036,0.15,0.1
"80","job1_sim1",80,16795,244,5.08414233439295,16795,244,5.08414233439295,44.6675531914894,29.4707446808511,3.2447164813501,0.15,0.1
"81","job1_sim1",81,16780,243,5.0801672849701,16780,243,5.0801672849701,44.6276595744681,29.8856382978723,3.26128031410632,0.15,0.1
"82","job1_sim1",82,16777,243,5.07596307048025,16777,243,5.07596307048025,44.6196808510638,29.8351063829787,3.25747998976236,0.15,0.1
"83","job1_sim1",83,16764,240,5.07150579575162,16764,240,5.07150579575162,44.5851063829787,29.6728723404255,3.25445500393754,0.15,0.1
"84","job1_sim1",84,16740,241,5.0634073565685,16740,241,5.0634073565685,44.5212765957447,29.625,3.25368572713906,0.15,0.1
"85","job1_sim1",85,16718,240,5.06167036534075,16718,240,5.06167036534075,44.4627659574468,29.7287234042553,3.25680404900199,0.15,0.1
"86","job1_sim1",86,16801,240,5.0600575916655,16801,240,5.0600575916655,44.6835106382979,29.9255319148936,3.26370020772069,0.15,0.1
"87","job1_sim1",87,16697,237,5.05099450631672,16697,237,5.05099450631672,44.406914893617,29.563829787234,3.24683309473404,0.15,0.1
"88","job1_sim1",88,16755,236,5.0440077666407,16755,236,5.0440077666407,44.561170212766,29.4255319148936,3.24212912124923,0.15,0.1
"89","job1_sim1",89,16867,236,5.04463414466029,16867,236,5.04463414466029,44.8590425531915,29.7686170212766,3.25393364686668,0.15,0.1
"90","job1_sim1",90,16875,236,5.04032494498901,16875,236,5.04032494498901,44.8803191489362,29.7473404255319,3.25188928794248,0.15,0.1
"91","job1_sim1",91,16665,234,5.03479510079166,16665,234,5.03479510079166,44.3218085106383,29.4202127659574,3.24024908357252,0.15,0.1
"92","job1_sim1",92,16815,234,5.02745715560135,16815,234,5.02745715560135,44.7207446808511,29.7712765957447,3.25418030787028,0.15,0.1
"93","job1_sim1",93,16691,234,5.02039361198934,16691,234,5.02039361198934,44.3909574468085,29.4468085106383,3.24155872793635,0.15,0.1
"94","job1_sim1",94,16654,234,5.01758295395746,16654,234,5.01758295395746,44.2925531914894,29.4175531914894,3.23801524144317,0.15,0.1
"95","job1_sim1",95,16717,234,5.01568451127529,16717,234,5.01568451127529,44.4601063829787,29.3191489361702,3.23326477031277,0.15,0.1
"96","job1_sim1",96,16755,232,5.00908388462797,16755,232,5.00908388462797,44.561170212766,29.375,3.23958255520057,0.15,0.1
"97","job1_sim1",97,16808,233,5.00628120248006,16808,233,5.00628120248006,44.7021276595745,29.3962765957447,3.24054311952064,0.15,0.1
"98","job1_sim1",98,16795,232,5.00294578814326,16795,232,5.00294578814326,44.6675531914894,29.4574468085106,3.24400179716714,0.15,0.1
"99","job1_sim1",99,16753,230,4.99664394529826,16753,230,4.99664394529826,44.5558510638298,29.3457446808511,3.23943721386922,0.15,0.1
"100","job1_sim1",100,16664,227,4.99493437293213,16664,227,4.99493437293213,44.3191489361702,29.2260638297872,3.23573891782874,0.15,0.1
"101","job1_sim2",1,5000,992,6.79991956226409,5000,992,6.79991956226409,0,0,0,1,0
"102","job1_sim2",2,5995,987,6.76923738651472,5995,987,6.76923738651472,0,0,0,1,0
"103","job1_sim2",3,7267,980,6.74405984975007,7267,980,6.74405984975007,0,0,0,1,0
"104","job1_sim2",4,8669,977,6.71715515363158,8669,977,6.71715515363158,0,0,0,1,0
"105","job1_sim2",5,10435,975,6.69843521138887,10435,975,6.69843521138887,0,0,0,1,0
"106","job1_sim2",6,12638,971,6.679696333469,12638,971,6.679696333469,0,0,0,1,0
"107","job1_sim2",7,15370,964,6.66043297516071,15370,964,6.66043297516071,0,0,0,1,0
"108","job1_sim2",8,18819,962,6.64566919502799,18819,962,6.64566919502799,0,0,0,1,0
"109","job1_sim2",9,23108,961,6.62455968851356,23108,961,6.62455968851356,0,0,0,1,0
"110","job1_sim2",10,28127,959,6.60944902794403,28127,959,6.60944902794403,0,0,0,1,0
"111","job1_sim2",11,34399,957,6.58868972595994,34399,957,6.58868972595994,0,0,0,1,0
"112","job1_sim2",12,42409,956,6.57642461108817,42409,956,6.57642461108817,0,0,0,1,0
"113","job1_sim2",13,52304,955,6.56060923958082,52304,955,6.56060923958082,0,0,0,1,0
